NDC_CODE,MAPPED_NDC_CODE,MODE,PRIORITY,VOLUME,CLIENT,BAG_TYPE,BAG_IDENTIFIER,PTL_ID,ptl_cutoff_time
Agartala_Mohanpur1_DPP (Tripura),Agartala_UttarChampamura_I (Tripura),E,ANY,ANY,ANY,Express,Agartala_E,0051,0030;0130;0730;1330;1830
Agartala_Mohanpur1_DPP (Tripura),Guwahati_KaliPahar_GW (Assam),S,ANY,ANY,ANY,Surface,Guwahati_E,0024,0030;0330;0830;1230;1500;2030;2330
Agartala_Neramaya_D (Tripura),Agartala_UttarChampamura_I (Tripura),E,ANY,ANY,ANY,Express,Agartala_E,0051,0030;0130;0730;1330;1830
Agartala_Neramaya_D (Tripura),Guwahati_KaliPahar_GW (Assam),S,ANY,ANY,ANY,Surface,Guwahati_E,0024,0030;0330;0830;1230;1500;2030;2330
Agartala_Taranagar_DPP (Tripura),Agartala_UttarChampamura_I (Tripura),E,ANY,ANY,ANY,Express,Agartala_E,0051,0030;0130;0730;1330;1830
Agartala_Taranagar_DPP (Tripura),Guwahati_KaliPahar_GW (Assam),S,ANY,ANY,ANY,Surface,Guwahati_E,0024,0030;0330;0830;1230;1500;2030;2330
Agartala_UttarChampamura_D (Tripura),Agartala_UttarChampamura_I (Tripura),E,ANY,ANY,ANY,Express,Agartala_E,0051,0030;0130;0730;1330;1830
Agartala_UttarChampamura_D (Tripura),Guwahati_KaliPahar_GW (Assam),S,ANY,ANY,ANY,Surface,Guwahati_E,0024,0030;0330;0830;1230;1500;2030;2330
Agartala_UttarChampamura_I (Tripura),Agartala_UttarChampamura_I (Tripura),E,ANY,ANY,ANY,Express,Agartala_E,0051,0030;0130;0730;1330;1830
Agartala_UttarChampamura_I (Tripura),Guwahati_KaliPahar_GW (Assam),S,ANY,ANY,ANY,Surface,Guwahati_E,0024,0030;0330;0830;1230;1500;2030;2330
Agar_GundiKhurd_D (Madhya Pradesh),Indore_Dakachya_GW (Madhya Pradesh),E,ANY,ANY,ANY,Express,Indore_W,0037,0030;0130;0730;1330;1830
Agar_GundiKhurd_D (Madhya Pradesh),Indore_Dakachya_GW (Madhya Pradesh),S,ANY,ANY,ANY,Surface,Indore_W,0053,0030;0500
Agomani_Chhotoguma_DPP (Assam),Siliguri_Jugibhita_GW (West Bengal),E,ANY,ANY,ANY,Express,Siliguri_E,0007,0030;0130;0730;1330;1830
Agomani_Chhotoguma_DPP (Assam),Siliguri_Jugibhita_GW (West Bengal),S,ANY,ANY,ANY,Surface,Siliguri_E,0020,0030;0330;0830;1230;1500;2030;2330
Agomani_Shenagar_DPP (Assam),Siliguri_Jugibhita_GW (West Bengal),E,ANY,ANY,ANY,Express,Siliguri_E,0007,0030;0130;0730;1330;1830
Agomani_Shenagar_DPP (Assam),Siliguri_Jugibhita_GW (West Bengal),S,ANY,ANY,ANY,Surface,Siliguri_E,0020,0030;0330;0830;1230;1500;2030;2330
Agra_AwasVikasCly_D (Uttar Pradesh),Agra_Jaupura_H (Uttar Pradesh),ANY,ANY,ANY,ANY,Surface,Agra_N,0056,0030;0500
Agra_Jakhoda_D (Uttar Pradesh),Agra_Jaupura_H (Uttar Pradesh),ANY,ANY,ANY,ANY,Surface,Agra_N,0056,0030;0500
Agra_Jaupura1_L (Uttar Pradesh),Agra_Jaupura_H (Uttar Pradesh),ANY,ANY,ANY,ANY,Surface,Agra_N,0056,0030;0500
Agra_Jaupura1_R (Uttar Pradesh),Agra_Jaupura_H (Uttar Pradesh),ANY,ANY,ANY,ANY,Surface,Agra_N,0056,0030;0500
Agra_Jaupura2_R (Uttar Pradesh),Agra_Jaupura_H (Uttar Pradesh),ANY,ANY,ANY,ANY,Surface,Agra_N,0056,0030;0500
Agra_Jaupura_H (Uttar Pradesh),Agra_Jaupura_H (Uttar Pradesh),ANY,ANY,ANY,ANY,Surface,Agra_N,0056,0030;0500
Agra_Khndri_D (Uttar Pradesh),Agra_Jaupura_H (Uttar Pradesh),ANY,ANY,ANY,ANY,Surface,Agra_N,0056,0030;0500
Agra_PratapNagar_D (Uttar Pradesh),Agra_PratapNagar_D (Uttar Pradesh),ANY,ANY,ANY,ANY,Surface,Agra_N,0040,0030;0500;1130;1830
Agra_Shastripuram_D (Uttar Pradesh),Agra_Jaupura_H (Uttar Pradesh),ANY,ANY,ANY,ANY,Surface,Agra_N,0056,0030;0500
Agra_Tajganj_D (Uttar Pradesh),Agra_Tajganj_D (Uttar Pradesh),ANY,ANY,ANY,ANY,Surface,Agra_N,0031,0030;0500;1130;1830
Agra_Tajganj_R (Uttar Pradesh),Agra_Tajganj_R (Uttar Pradesh),ANY,ANY,ANY,ANY,Surface,AgraReturn_N,0015,0030;0500
Agra_ValdevNagar_D (Uttar Pradesh),Agra_Jaupura_H (Uttar Pradesh),ANY,ANY,ANY,ANY,Surface,Agra_N,0056,0030;0500
Aheri_ChinchgndiRd_DPP (Maharashtra),Nagpur_Khapari_GW (Maharashtra),E,ANY,ANY,ANY,Express,Nagpur_W,0041,0030;0130;0730;1330;1830
Aheri_ChinchgndiRd_DPP (Maharashtra),Nagpur_Khapari_GW (Maharashtra),S,ANY,ANY,ANY,Surface,Nagpur_W,0029,0030;0330;0830;1230;1500;2030;2330
Aheri_Etapalli_DPP (Maharashtra),Nagpur_Khapari_GW (Maharashtra),E,ANY,ANY,ANY,Express,Nagpur_W,0041,0030;0130;0730;1330;1830
Aheri_Etapalli_DPP (Maharashtra),Nagpur_Khapari_GW (Maharashtra),S,ANY,ANY,ANY,Surface,Nagpur_W,0029,0030;0330;0830;1230;1500;2030;2330
Ahmedabad_AH (Gujarat),Ahmedabad_Kanera_GW (Gujarat),E,ANY,ANY,ANY,Express,Ahmedabad_W,0010,0030;0130;0730;1330;1830
Ahmedabad_AH (Gujarat),Ahmedabad_Kanera_GW (Gujarat),S,ANY,ANY,ANY,Surface,Ahmedabad_W,0047,0030;0330;0830;1230;1500;2030;2330
Ahmedabad_Ambawadi_D (Gujarat),Ahmedabad_Chandkheda_H (Gujarat),E,ANY,ANY,ANY,Express,Ahmedabad_W,0035,0430;1130;1630;2130
