NDC_CODE,MAPPED_NDC_CODE,MODE,PRIORITY,VOLUME,CLIENT,BAG_TYPE,BAG_IDENTIFIER,PTL_ID,ptl_cutoff_time
Kolkata_Panihati_C (West Bengal),Kolkata_Dankuni_I (West Bengal),ANY,ANY,ANY,ANY,Surface,Kolkata_E,0055,0030;0330;0830;1230;1500;2030;2330
Kollapur_Vasavi_DPP (Telangana),Mahbubnagar_Boyapally_I (Telangana),S,ANY,ANY,ANY,Surface,Hyderabad_S,0056,0500;2230
Konark_Central_DPP_2 (Orissa),Bhubaneswar_Bampakhuda_GW (Orissa),E,ANY,ANY,ANY,Express,Bhubaneshwar_E,0057,0030;0430;2030;2230
Kosgi_Chennaram_D (Telangana),Mahbubnagar_Boyapally_I (Telangana),S,ANY,ANY,ANY,Surface,Hyderabad_S,0058,0500;2230
Kosgi_Kodangal_D (Telangana),Mahbubnagar_Boyapally_I (Telangana),S,ANY,ANY,ANY,Surface,Hyderabad_S,0059,0500;2230
Kothakota_Wanaprthy_D (Telangana),Mahbubnagar_Boyapally_I (Telangana),S,ANY,ANY,ANY,Surface,Hyderabad_S,0060,0500;2230
Kothapalli_Amaravalli1_D (Andhra Pradesh),Rajahmundry_Rajanagaram_H (Andhra Pradesh),S,ANY,ANY,ANY,Surface,Vijayawada_S,0061,0500;2230
Kovvur_Samisragudem1_D (Andhra Pradesh),Rajahmundry_Rajanagaram_H (Andhra Pradesh),S,ANY,ANY,ANY,Surface,Vijayawada_S,0062,0500;2230
Kovvur_Ward14_D (Andhra Pradesh),Rajahmundry_Rajanagaram_H (Andhra Pradesh),S,ANY,ANY,ANY,Surface,Vijayawada_S,0063,0500;2230
Kuchinda_Pdrpada_D (Orissa),Bhubaneswar_Bampakhuda_GW (Orissa),E,ANY,ANY,ANY,Express,Bhubaneshwar_E,0064,0030;0430;2030;2230
Kumta_Central_DPP_2 (Karnataka),Goa_Hub (Goa),S,ANY,ANY,ANY,Surface,Goa_W,0065,0030;0330;0830;1230;1500;2030;2330
Kundahit_Bankati_D (Jharkhand),Dhanbad_Tilabani_H (Jharkhand),E,ANY,ANY,ANY,Express,Dhanbad_E,0002,0030;0430;2030;2230
Kunkuri_Kansabel_DPP (Chhattisgarh),Ambikapur_Bouripara_I (Chhattisgarh),E,ANY,ANY,ANY,Express,Ambikapur_W,0002,0030;0430;2030;2230
Kusmi_Kanjiya_D (Chhattisgarh),Ambikapur_Bouripara_I (Chhattisgarh),E,ANY,ANY,ANY,Express,Ambikapur_W,0003,0030;0430;2030;2230
Lailunga_BanjariPara_D (Chhattisgarh),Ambikapur_Bouripara_I (Chhattisgarh),E,ANY,ANY,ANY,Express,Ambikapur_W,0004,0030;0430;2030;2230
Lakhisarai_Central_D_2 (Bihar),Lakhisarai_Central_I_2 (Bihar),S,ANY,ANY,ANY,Surface,Patna_E,0005,0330;0900;1700;2330
Lakhisarai_Central_I_2 (Bihar),Lakhisarai_Central_I_2 (Bihar),S,ANY,ANY,ANY,Surface,Patna_E,0006,0330;0900;1700;2330
Lakhisarai_Kiul_D (Bihar),Lakhisarai_Central_I_2 (Bihar),S,ANY,ANY,ANY,Surface,Patna_E,0007,0330;0900;1700;2330
Lalitpur_Govindnagar_D (Uttar Pradesh),Jhansi_Nandanpura_I (Uttar Pradesh),ANY,ANY,ANY,ANY,Surface,Gwalior_W,0008,0500;2230
Laxmangarh_Wrd19DPP_D (Rajasthan),Sikar_IndustrialArea_I (Rajasthan),ANY,ANY,ANY,ANY,Surface,Jaipur_N,0009,0030;0330;0830;1230;1500;2030;2330
Madanapalle_RNaiduClny_D (Andhra Pradesh),Cuddapah_Aravindnagar_I (Andhra Pradesh),E,ANY,ANY,ANY,Express,Hyderabad_S,0010,0030;0430;2030;2230
Madanapalle_Vayalapadu_D (Andhra Pradesh),Cuddapah_Aravindnagar_I (Andhra Pradesh),E,ANY,ANY,ANY,Express,Hyderabad_S,0011,0030;0430;2030;2230
Madhuban_Gayatripuram_DPP (Uttar Pradesh),Azamgarh_Husanganj_H (Uttar Pradesh),E,ANY,ANY,ANY,Express,Varanasi_N,0012,0030;0430;2030;2230
Madhupur_Baramsoli_DPP (Jharkhand),Dhanbad_Tilabani_H (Jharkhand),E,ANY,ANY,ANY,Express,Dhanbad_E,0013,0030;0430;2030;2230
Madhupur_Sitarmrd_D (Jharkhand),Dhanbad_Tilabani_H (Jharkhand),E,ANY,ANY,ANY,Express,Dhanbad_E,0014,0030;0430;2030;2230
Mahabubnagar_Devarakadra_DPP (Telangana),Mahbubnagar_Boyapally_I (Telangana),S,ANY,ANY,ANY,Surface,Hyderabad_S,0015,0500;2230
Mahabubnagar_Zouqinagar_D (Telangana),Mahbubnagar_Boyapally_I (Telangana),S,ANY,ANY,ANY,Surface,Hyderabad_S,0016,0500;2230
Mahagama_Teachercolony_DPP (Jharkhand),Dhanbad_Tilabani_H (Jharkhand),E,ANY,ANY,ANY,Express,Dhanbad_E,0017,0030;0430;2030;2230
Maharajganj_Sihauta_D (Bihar),Chhapra_Newajitola_I (Bihar),S,ANY,ANY,ANY,Surface,Patna_E,0018,0030;0330;0830;1230;1500;2030;2330
Mahbubnagar_Boyapally_D (Telangana),Mahbubnagar_Boyapally_I (Telangana),S,ANY,ANY,ANY,Surface,Hyderabad_S,0019,0500;2230
Mahbubnagar_Boyapally_I (Telangana),Mahbubnagar_Boyapally_I (Telangana),S,ANY,ANY,ANY,Surface,Hyderabad_S,0020,0500;2230
Maheshkhunt_Bandehra_DPP (Bihar),Patna_Janarjanpur_H (Bihar),S,ANY,ANY,ANY,Surface,Patna_E,0021,0030;0330;0830;1230;1500;2030;2330
Maheshkhunt_PashchimTola_D (Bihar),Patna_Janarjanpur_H (Bihar),S,ANY,ANY,ANY,Surface,Patna_E,0022,0030;0330;0830;1230;1500;2030;2330
Maheshpur_Grmnbank_D (Jharkhand),Berhampore_Mankara_I (West Bengal),E,ANY,ANY,ANY,Express,Kolkata_E,0023,0030;0430;2030;2230
Mahrauni_Kuwanghosi_D (Uttar Pradesh),Jhansi_Nandanpura_I (Uttar Pradesh),ANY,ANY,ANY,ANY,Surface,Gwalior_W,0024,0500;2230
Mahuadanr_Dipatoli_D (Jharkhand),Ambikapur_Bouripara_I (Chhattisgarh),E,ANY,ANY,ANY,Express,Ambikapur_W,0025,0030;0430;2030;2230
Mairwa_StationRd_D (Bihar),Chhapra_Newajitola_I (Bihar),S,ANY,ANY,ANY,Surface,Patna_E,0026,0030;0330;0830;1230;1500;2030;2330
Mallapur_ShtDRDPP_D (Karnataka),Goa_Hub (Goa),S,ANY,ANY,ANY,Surface,Goa_W,0027,0030;0330;0830;1230;1500;2030;2330
Malmaliya_Amanw_D (Bihar),Chhapra_Newajitola_I (Bihar),S,ANY,ANY,ANY,Surface,Patna_E,0028,0030;0330;0830;1230;1500;2030;2330
Malmaliya_Piarepur_D (Bihar),Chhapra_Newajitola_I (Bihar),S,ANY,ANY,ANY,Surface,Patna_E,0029,0030;0330;0830;1230;1500;2030;2330
Malmaliya_Sipah_D (Bihar),Chhapra_Newajitola_I (Bihar),S,ANY,ANY,ANY,Surface,Patna_E,0030,0030;0330;0830;1230;1500;2030;2330
Malur_AdarshNgr_D (Karnataka),Bangalore_Hoskote_GW (Karnataka),E,ANY,ANY,ANY,Express,Bangalore_S,0031,2100;2130
Malvan_Kumbharmath_D (Maharashtra),Goa_Hub (Goa),S,ANY,ANY,ANY,Surface,Goa_W,0032,0030;0330;0830;1230;1500;2030;2330
Mandapeta_Gandhinagar_D (Andhra Pradesh),Rajahmundry_Rajanagaram_H (Andhra Pradesh),S,ANY,ANY,ANY,Surface,Vijayawada_S,0033,0500;2230
Mandapeta_Ravulapalem_D (Andhra Pradesh),Rajahmundry_Rajanagaram_H (Andhra Pradesh),S,ANY,ANY,ANY,Surface,Vijayawada_S,0034,0500;2230
Mandideep_Mahaveernagar_D (Madhya Pradesh),Bhopal_Pipaliya_H (Madhya Pradesh),S,ANY,ANY,ANY,Surface,Bhopal_W,0035,0030;0330;0830;1230;1500;2030;2330
Manendragarh_Chirimiri_DPP (Chhattisgarh),Ambikapur_Bouripara_I (Chhattisgarh),E,ANY,ANY,ANY,Express,Ambikapur_W,0036,0030;0430;2030;2230
Manendragarh_HaldiBadi_DPP (Chhattisgarh),Ambikapur_Bouripara_I (Chhattisgarh),E,ANY,ANY,ANY,Express,Ambikapur_W,0037,0030;0430;2030;2230
Manendragarh_JKDRoad_D (Chhattisgarh),Ambikapur_Bouripara_I (Chhattisgarh),E,ANY,ANY,ANY,Express,Ambikapur_W,0038,0030;0430;2030;2230
ManharBazar_NayaGaon_D (Bihar),Patna_Janarjanpur_H (Bihar),S,ANY,ANY,ANY,Surface,Patna_E,0039,0030;0330;0830;1230;1500;2030;2330
Mannaekhelli_Bapur_D (Karnataka),Gulbarga_Kapnoor_I (Karnataka),S,ANY,ANY,ANY,Surface,Hyderabad_S,0040,0030;0330;0830;1230;1500;2030;2330
Manteswar_MemariRD_D (West Bengal),Bardhaman_Ulhas_I (West Bengal),E,ANY,ANY,ANY,Express,Kolkata_E,0041,0030;0430;2030;2230
Marhowarah_StatinRD_D (Bihar),Chhapra_Newajitola_I (Bihar),S,ANY,ANY,ANY,Surface,Patna_E,0042,0030;0330;0830;1230;1500;2030;2330
Masaurhi_Biranchi_D (Bihar),Patna_Janarjanpur_H (Bihar),S,ANY,ANY,ANY,Surface,Patna_E,0043,0030;0330;0830;1230;1500;2030;2330
Mashrakh_Benchapra_D (Bihar),Chhapra_Newajitola_I (Bihar),S,ANY,ANY,ANY,Surface,Patna_E,0044,0030;0330;0830;1230;1500;2030;2330
Mauranipur_NehruNagar_D (Uttar Pradesh),Jhansi_Nandanpura_I (Uttar Pradesh),ANY,ANY,ANY,ANY,Surface,Gwalior_W,0045,0500;2230
Mau_Chriayakot_C (Uttar Pradesh),Azamgarh_Husanganj_H (Uttar Pradesh),E,ANY,ANY,ANY,Express,Varanasi_N,0046,0030;0430;2030;2230
Mau_Chriayakot_D (Uttar Pradesh),Azamgarh_Husanganj_H (Uttar Pradesh),E,ANY,ANY,ANY,Express,Varanasi_N,0047,0030;0430;2030;2230
Meham_Ward13_D (Haryana),Hisar_Pirawali_H (Haryana),ANY,ANY,ANY,ANY,Surface,Gurgaon_N,0048,0030;0330;0830;1230;1500;2030;2330
Memari_IchprDPP_D (West Bengal),Bardhaman_Ulhas_I (West Bengal),E,ANY,ANY,ANY,Express,Kolkata_E,0049,0030;0430;2030;2230
MirzapurWB_VidyaDPP_D (West Bengal),Bardhaman_Ulhas_I (West Bengal),E,ANY,ANY,ANY,Express,Kolkata_E,0050,0030;0430;2030;2230
MohiuddinNagar_Manjha_D (Bihar),Patna_Janarjanpur_H (Bihar),S,ANY,ANY,ANY,Surface,Patna_E,0051,0030;0330;0830;1230;1500;2030;2330
Morgram_Kantagoriya_D (West Bengal),Berhampore_Mankara_I (West Bengal),E,ANY,ANY,ANY,Express,Kolkata_E,0052,0030;0430;2030;2230
Mulbagal_Sunku_D (Karnataka),Bangalore_Hoskote_GW (Karnataka),E,ANY,ANY,ANY,Express,Bangalore_S,0053,2100;2130
Mumbai_Adarshnagar_D (Maharashtra),Mumbai_Chinchpokli_I (Maharashtra),S,ANY,ANY,ANY,Surface,Mumbai_W,0054,0500;2230
Mumbai_Airoli1_D (Maharashtra),Mumbai_MahapeMIDC2_I (Maharashtra),E,ANY,ANY,ANY,Express,Mumbai_W,0055,0030;0430;2030;2230
Mumbai_Airoli_D (Maharashtra),Mumbai_MahapeMIDC2_I (Maharashtra),E,ANY,ANY,ANY,Express,Mumbai_W,0056,0030;0430;2030;2230
Mumbai_BelapurSector11_D (Maharashtra),Mumbai_MahapeMIDC2_I (Maharashtra),E,ANY,ANY,ANY,Express,Mumbai_W,0057,0030;0430;2030;2230
Mumbai_Bhandup_D (Maharashtra),Mumbai_Patlipada_I (Maharashtra),E,ANY,ANY,ANY,Express,Mumbai_W,0058,2130
Mumbai_BharatNagar_D (Maharashtra),Mumbai_Chinchpokli_I (Maharashtra),S,ANY,ANY,ANY,Surface,Mumbai_W,0059,0500;2230
Mumbai_BholenathNagar_D (Maharashtra),Mumbai_Patlipada_I (Maharashtra),E,ANY,ANY,ANY,Express,Mumbai_W,0060,2130
Mumbai_BycullaEast_D (Maharashtra),Mumbai_Chinchpokli_I (Maharashtra),S,ANY,ANY,ANY,Surface,Mumbai_W,0060,0500;2230
Mumbai_Chinchpokli_I (Maharashtra),Mumbai_Chinchpokli_I (Maharashtra),S,ANY,ANY,ANY,Surface,Mumbai_W,0060,0500;2230
Mumbai_Dharavi_D (Maharashtra),Mumbai_Chinchpokli_I (Maharashtra),S,ANY,ANY,ANY,Surface,Mumbai_W,0003,0500;2230
Mumbai_DokaliPada_D (Maharashtra),Mumbai_Patlipada_I (Maharashtra),E,ANY,ANY,ANY,Express,Mumbai_W,0004,2130
Mumbai_Fort_D (Maharashtra),Mumbai_Chinchpokli_I (Maharashtra),S,ANY,ANY,ANY,Surface,Mumbai_W,0005,0500;2230
Mumbai_GandhiNgr_D (Maharashtra),Mumbai_Chinchpokli_I (Maharashtra),S,ANY,ANY,ANY,Surface,Mumbai_W,0006,0500;2230
Mumbai_GhansliSec5_D (Maharashtra),Mumbai_MahapeMIDC2_I (Maharashtra),E,ANY,ANY,ANY,Express,Mumbai_W,0007,0030;0430;2030;2230
Mumbai_GhodbunderRd_D (Maharashtra),Mumbai_Patlipada_I (Maharashtra),E,ANY,ANY,ANY,Express,Mumbai_W,0008,2130
Mumbai_Gundavali_D (Maharashtra),Mumbai_Patlipada_I (Maharashtra),E,ANY,ANY,ANY,Express,Mumbai_W,0009,2130
Mumbai_Kalachowki_I (Maharashtra),Mumbai_Chinchpokli_I (Maharashtra),S,ANY,ANY,ANY,Surface,Mumbai_W,0010,0500;2230
Mumbai_Kalamboli_D (Maharashtra),Mumbai_MahapeMIDC2_I (Maharashtra),E,ANY,ANY,ANY,Express,Mumbai_W,0011,0030;0430;2030;2230
Mumbai_Kalbadevi1_D (Maharashtra),Mumbai_Chinchpokli_I (Maharashtra),S,ANY,ANY,ANY,Surface,Mumbai_W,0012,0500;2230
Mumbai_Kamothe_D (Maharashtra),Mumbai_MahapeMIDC2_I (Maharashtra),E,ANY,ANY,ANY,Express,Mumbai_W,0013,0030;0430;2030;2230
Mumbai_Kasarvadavali_D (Maharashtra),Mumbai_Patlipada_I (Maharashtra),E,ANY,ANY,ANY,Express,Mumbai_W,0014,2130
Mumbai_KempsCorner_D (Maharashtra),Mumbai_Chinchpokli_I (Maharashtra),S,ANY,ANY,ANY,Surface,Mumbai_W,0015,0500;2230
Mumbai_Khardipada_D (Maharashtra),Mumbai_Patlipada_I (Maharashtra),E,ANY,ANY,ANY,Express,Mumbai_W,0016,2130
Mumbai_KhargharSec36_D (Maharashtra),Mumbai_MahapeMIDC2_I (Maharashtra),E,ANY,ANY,ANY,Express,Mumbai_W,0017,0030;0430;2030;2230
